Gene ID	Gene Name	SRR12951211	SRR12951212	SRR12951213	SRR12951214	SRR12951215	SRR12951216	SRR12951217	SRR12951218	SRR12951219	SRR12951220	SRR12951221	SRR12951222	SRR12951223	SRR12951224	SRR12951225	SRR12951226	SRR12951227	SRR12951228	SRR12951229
ENSG00000003400	CASP10	627	476	209	57	19	101	403	409	347	543	669	749	1075	553	1112	1154	648	815	857
ENSG00000003402	CFLAR	7473	6486	5997	5770	8369	2406	5040	6018	4954	6717	7033	6657	7499	6712	9638	7842	7168	8186	5439
ENSG00000003436	TFPI	2366	2966	6015	7358	11573	2371	2500	380	7019	14188	3442	1419	1797	4032	1382	1849	3641	2586	1166
ENSG00000003509	NDUFAF7	261	168	543	303	567	20	236	154	178	142	237	234	304	229	393	256	259	480	159
ENSG00000003756	RBM5	1537	856	1829	1407	1813	435	632	788	1281	989	1532	1375	1631	1170	2501	1617	1200	1537	1148
ENSG00000003987	MTMR7	337	82	57	174	183	32	1	134	157	383	114	242	374	316	311	342	309	326	170
ENSG00000003989	SLC7A2	452	562	1316	3041	2120	1096	331	141	1826	1695	510	427	260	461	259	587	613	669	181
ENSG00000004059	ARF5	24	14	16	0	2	0	0	52	9	10	32	28	23	5	29	19	14	20	29
ENSG00000004139	SARM1	52	9	82	4	34	0	70	137	14	16	50	51	96	88	101	53	37	63	86
ENSG00000004142	POLDIP2	369	19	424	46	92	12	0	98	155	125	269	275	274	295	387	301	278	328	250
ENSG00000004399	PLXND1	346	143	231	138	262	69	49	32	172	341	359	214	366	241	383	321	490	397	233
ENSG00000004455	AK2	818	466	931	1082	289	1088	523	2107	523	905	924	1046	886	943	896	820	637	697	811
ENSG00000004468	CD38	612	290	173	18	42	29	224	259	185	425	356	299	1014	221	397	535	300	447	514
ENSG00000004478	FKBP4	194	49	467	58	112	109	56	51	279	193	271	222	202	151	405	295	149	223	242
ENSG00000004487	KDM1A	1135	779	1284	1249	708	186	430	707	971	891	1350	1025	1312	1037	1613	1525	1249	1074	956
ENSG00000004534	RBM6	1256	386	617	435	647	114	67	331	458	814	841	1031	1474	1048	1976	1280	1295	1337	1164
ENSG00000004660	CAMKK1	28	31	144	70	67	27	0	57	11	24	95	54	43	61	108	35	65	97	64
ENSG00000004700	RECQL	129	16	456	537	86	10	11	132	299	310	224	164	132	105	291	145	218	346	103
ENSG00000004766	VPS50	760	154	915	1074	701	328	552	247	969	1171	885	918	993	659	1556	1157	834	752	761
ENSG00000004776	HSPB6	1752	61	4154	1255	2424	438	525	740	301	253	423	234	35	258	180	75	211	1757	225
ENSG00000004777	ARHGAP33	63	0	3	12	4	0	2	1	23	11	39	36	34	23	57	42	21	63	35
ENSG00000004779	NDUFAB1	398	207	554	194	55	445	24	98	417	721	569	616	806	618	751	482	430	361	401
ENSG00000004799	PDK4	1072	6387	10294	5636	46838	6956	1557	1058	8708	11007	10364	3359	1868	21909	15760	2298	985	11397	1114
ENSG00000004809	SLC22A16	0	0	0	0	0	0	0	0	0	0	0	1	7	0	3	0	6	2	0
ENSG00000004838	ZMYND10	2	0	0	0	0	0	0	44	2	1	3	1	3	2	6	7	2	10	6
ENSG00000004846	ABCB5	38	107	161	454	461	24	0	0	154	218	73	22	123	23	12	48	9	55	3
ENSG00000004848	ARX	4	8	0	0	0	0	0	0	0	2	2	2	13	4	52	8	16	20	26
ENSG00000004864	SLC25A13	194	259	308	140	395	2	618	200	180	301	283	400	294	206	441	296	232	227	197
ENSG00000004866	ST7	419	126	557	352	292	18	385	69	237	585	414	235	221	191	426	277	321	318	222
ENSG00000004897	CDC27	2840	1329	4903	3848	5005	2500	1295	1229	2432	3610	2766	1660	1967	2016	2473	2622	2887	2770	1746
ENSG00000004939	SLC4A1	0	0	2	0	0	0	0	0	0	0	3	3	0	2	2	0	0	4	1
ENSG00000004948	CALCR	4	0	0	0	0	3	0	2	2	0	3	3	0	5	10	1	2	0	4
ENSG00000004961	HCCS	289	200	277	393	120	828	658	40	183	713	266	260	305	210	291	244	215	231	248
ENSG00000004975	DVL2	39	29	103	41	232	0	0	20	22	54	48	83	53	43	113	48	63	62	41
ENSG00000005001	PRSS22	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	6	5	6
ENSG00000005007	UPF1	330	238	202	114	213	56	116	182	320	274	312	268	406	340	352	366	296	365	225
ENSG00000005020	SKAP2	723	796	1758	1714	772	1515	462	126	964	2488	1382	1093	1319	1212	1283	1016	664	778	716
ENSG00000005022	SLC25A5	1557	1165	1702	1180	433	2057	680	655	1413	2244	2882	3121	3623	4601	2696	2887	1889	1830	1667
ENSG00000005059	MCUB	255	70	477	247	249	129	146	264	452	502	302	381	482	307	317	464	364	240	223
ENSG00000005073	HOXA11	56	18	150	96	75	11	0	10	73	15	38	53	41	0	108	43	23	48	12
ENSG00000005075	POLR2J	83	13	120	56	27	44	96	29	56	86	150	77	132	77	144	68	31	79	55
ENSG00000005100	DHX33	152	129	370	69	140	5	7	232	58	295	134	128	191	225	300	203	183	135	111
ENSG00000005102	MEOX1	43	15	14	118	25	0	0	0	116	37	17	4	32	15	26	29	33	24	11
ENSG00000005108	THSD7A	590	527	672	612	887	311	76	16	660	597	476	283	306	437	410	412	416	567	214
ENSG00000005156	LIG3	311	184	199	162	268	27	36	319	113	70	217	220	203	179	365	258	207	386	211
ENSG00000005175	RPAP3	601	573	1352	1182	1078	734	466	588	1223	1020	762	745	839	695	1146	896	992	726	567
ENSG00000005187	ACSM3	88	60	269	633	629	4	0	31	178	177	231	216	173	85	202	204	83	84	174
ENSG00000005189	REXO5	70	0	51	39	69	0	110	81	72	41	37	56	80	41	139	118	71	117	41
ENSG00000005194	CIAPIN1	164	58	187	239	43	80	2	208	65	144	186	160	207	87	277	234	159	122	123
ENSG00000005206	SPPL2B	170	22	209	7	7	104	80	21	23	26	120	210	122	76	267	132	56	161	148
ENSG00000005238	FAM214B	225	7	100	105	137	151	0	32	25	24	136	187	201	88	152	150	96	147	143
ENSG00000005243	COPZ2	99	18	165	37	46	3	18	8	28	76	59	48	24	93	144	48	48	100	33
ENSG00000005249	PRKAR2B	659	611	1124	759	1627	126	372	58	1123	1433	879	886	708	891	652	852	1084	832	365
ENSG00000005302	MSL3	373	40	575	171	276	34	76	366	207	311	350	355	454	292	543	497	459	337	277
ENSG00000005339	CREBBP	3582	1485	3190	1586	1822	365	1106	1704	1692	2128	2961	2636	2189	2634	3990	3720	2169	3753	2952
ENSG00000005379	TSPOAP1	99	0	17	44	3	0	7	89	6	59	49	61	142	79	70	108	92	114	123
ENSG00000005381	MPO	0	0	0	0	0	0	0	0	0	2	0	0	5	0	2	1	0	0	1
ENSG00000005421	PON1	47	63	37	4	9	0	0	4	1	21	13	30	23	13	59	31	41	45	22
ENSG00000005436	GCFC2	713	780	1823	1518	1539	605	514	624	1295	1237	1225	932	903	634	1218	911	954	926	479
ENSG00000005448	WDR54	32	31	10	10	1	0	0	1	47	11	12	33	16	16	63	51	69	25	38
ENSG00000005469	CROT	226	204	379	87	277	225	22	30	270	514	447	394	390	477	290	187	247	162	139
ENSG00000005471	ABCB4	29	9	0	0	0	23	0	1	16	6	46	47	74	76	77	46	63	51	34
ENSG00000005483	KMT2E	9419	4304	10577	11521	12819	4947	3404	3433	7852	10467	9099	7650	7176	6193	7907	9877	7171	9507	8722
ENSG00000005486	RHBDD2	240	75	189	53	132	43	19	9	69	86	111	128	113	143	165	139	80	238	130
ENSG00000005513	SOX8	4	0	9	0	7	0	27	11	19	6	26	15	11	12	23	24	19	17	9
ENSG00000005700	IBTK	1895	935	1961	1375	1403	902	618	1286	1519	2491	1916	2094	2477	1702	2690	2537	3372	1933	1426
ENSG00000005801	ZNF195	1444	935	1382	969	387	645	254	775	1814	2245	1468	1494	2397	1458	1839	2280	2045	1401	1283
ENSG00000005810	MYCBP2	2663	1462	4702	2425	2642	1130	1003	1259	1893	3953	3081	2660	3606	2456	4644	3759	3198	3484	2420
ENSG00000005812	FBXL3	860	939	2216	1446	3334	1008	601	1138	2302	2398	1683	1237	1380	1505	1307	1314	1226	1059	698
ENSG00000005844	ITGAL	328	3	11	4	0	1	78	104	149	137	183	211	326	91	149	242	184	218	330
ENSG00000005882	PDK2	221	2	128	20	68	27	159	73	90	163	288	205	89	307	208	121	42	231	261
ENSG00000005884	ITGA3	482	61	281	94	72	50	158	427	156	232	582	422	440	390	512	459	224	386	630
ENSG00000005889	ZFX	1480	672	2191	1515	1274	105	306	912	980	1799	1018	744	1401	1061	2191	1146	1263	868	968
ENSG00000005893	LAMP2	2761	1690	7857	4036	6752	2212	1307	1364	3064	6720	3613	2869	2889	2797	3322	2610	3113	3060	1556
ENSG00000005961	ITGA2B	2	8	12	0	0	0	0	0	0	0	0	0	2	2	3	3	4	1	1
ENSG00000005981	ASB4	2	2	0	0	3	0	0	0	3	3	17	1	0	8	3	1	3	0	1
ENSG00000006007	GDE1	840	488	768	277	673	809	83	431	457	889	1199	1195	881	786	1614	1195	851	716	794
ENSG00000006015	REX1BD	125	19	16	17	23	3	0	10	18	22	130	126	57	105	150	129	72	103	116
ENSG00000006016	CRLF1	14	1	52	0	12	1	182	0	61	60	9	4	11	6	13	4	28	22	16
ENSG00000006025	OSBPL7	68	140	0	14	8	0	47	15	19	83	67	92	113	149	140	79	46	93	99
ENSG00000006042	TMEM98	272	11	158	189	239	92	3	21	250	228	306	452	342	465	428	319	286	225	317
ENSG00000006047	YBX2	101	22	18	0	11	64	15	47	16	5	93	51	109	83	92	88	20	60	68
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006062	MAP3K14	216	34	56	32	0	5	0	38	42	14	88	86	33	29	82	58	22	219	72
ENSG00000006071	ABCC8	9	1	25	0	22	0	1	8	0	46	23	32	8	47	41	27	34	91	11
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000006118	TMEM132A	12	0	0	0	0	0	0	1	0	6	5	5	9	2	12	11	3	17	9
ENSG00000006125	AP2B1	1889	777	2655	1791	1151	784	449	1493	1399	2723	2169	2277	1414	1203	2953	2006	1382	2026	1420
ENSG00000006128	TAC1	63	161	149	106	358	21	523	1	213	123	205	39	27	150	108	88	105	30	19
ENSG00000006194	ZNF263	161	61	41	113	130	208	49	94	72	64	140	135	149	97	203	146	113	210	149
ENSG00000006210	CX3CL1	75	34	62	35	76	24	2	0	30	138	46	110	82	40	62	58	104	112	38
ENSG00000006282	SPATA20	227	4	180	76	144	6	10	64	29	90	186	235	221	107	363	174	118	244	180
ENSG00000006283	CACNA1G	11	0	89	0	0	0	0	0	0	0	0	3	1	0	1	2	0	18	0
ENSG00000006327	TNFRSF12A	240	3	23	0	1	30	0	42	0	27	53	25	9	15	9	3	35	50	4
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0	1	1	8	0	1	0	2	5	2	3	1
ENSG00000006432	MAP3K9	85	5	7	1	10	1	48	272	20	39	46	83	100	75	98	111	108	90	138
ENSG00000006451	RALA	533	222	610	384	219	582	100	1452	742	1017	664	788	749	502	822	929	534	513	433
ENSG00000006453	BAIAP2L1	724	552	38	68	67	888	354	752	263	395	601	737	937	487	926	860	700	553	784
ENSG00000006459	KDM7A	1961	1917	1478	3736	2672	3749	197	981	2609	2510	3116	2943	3088	1684	2883	2521	1588	1669	1572
ENSG00000006468	ETV1	377	295	1857	2194	1356	808	1272	82	897	1724	676	482	488	809	606	513	741	728	249
ENSG00000006530	AGK	552	349	479	240	467	84	18	419	338	543	770	672	856	408	951	695	633	712	379
ENSG00000006534	ALDH3B1	120	14	51	1	62	8	50	17	10	60	106	56	46	126	128	79	40	86	96
ENSG00000006555	TTC22	334	176	20	89	14	173	22	93	214	317	813	838	411	1231	907	1370	475	322	987
ENSG00000006576	PHTF2	415	243	742	311	323	97	38	178	338	659	615	525	838	350	685	512	545	424	301
ENSG00000006606	CCL26	0	0	3	0	0	0	0	0	0	0	2	1	0	0	3	7	11	4	2
ENSG00000006607	FARP2	1057	1427	678	613	424	758	176	924	789	778	1381	1335	1586	898	1755	1354	890	1188	991
ENSG00000006611	USH1C	461	136	15	1	0	155	12	155	121	133	349	621	436	996	554	535	244	265	545
ENSG00000006625	GGCT	184	89	107	429	112	99	0	155	116	274	158	160	205	117	154	219	282	186	140
ENSG00000006634	DBF4	165	211	113	97	55	100	105	81	96	233	173	248	311	129	276	306	243	184	160
ENSG00000006638	TBXA2R	3	5	0	6	6	0	1	0	17	10	2	27	13	13	23	7	20	45	5
ENSG00000006652	IFRD1	736	693	427	333	1118	799	170	313	531	991	689	857	691	552	1010	649	429	544	312
ENSG00000006659	LGALS14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	383	189	330	165	240	70	9	234	247	339	303	270	323	416	409	367	186	318	243
ENSG00000006704	GTF2IRD1	165	83	243	229	472	29	0	284	56	108	155	115	118	105	198	113	96	142	78
ENSG00000006712	PAF1	368	147	283	251	220	33	76	215	222	196	344	191	174	280	398	349	214	431	312
ENSG00000006715	VPS41	802	219	1305	605	1109	173	77	175	910	1117	837	851	955	802	1284	823	747	928	444
ENSG00000006740	ARHGAP44	537	293	108	125	24	163	439	342	230	387	805	1069	943	305	1040	1167	404	493	889
ENSG00000006744	ELAC2	285	73	216	165	376	91	55	172	265	272	362	287	306	172	548	410	348	420	278
ENSG00000006747	SCIN	812	149	34	36	63	369	5	322	382	536	1284	1379	1035	6902	1282	1608	547	433	926
ENSG00000006756	ARSD	438	67	139	117	16	153	68	95	99	300	431	272	471	268	621	357	260	324	530
ENSG00000006757	PNPLA4	261	7	152	91	9	13	0	49	39	336	159	139	205	145	236	152	130	117	197
ENSG00000006788	MYH13	2	8	0	16	0	0	0	0	0	0	0	3	0	1	0	2	1	0	5
ENSG00000006831	ADIPOR2	499	452	607	352	1100	414	261	664	310	652	483	587	470	456	670	577	270	523	377
ENSG00000006837	CDKL3	9	50	10	34	2	2	2	4	22	14	19	19	15	19	21	9	20	15	6
ENSG00000007001	UPP2	2	0	0	0	0	0	0	0	0	19	0	16	6	2	9	7	11	2	13
ENSG00000007038	PRSS21	6	0	0	0	0	0	0	0	1	17	0	0	0	0	0	1	4	0	3
ENSG00000007047	MARK4	193	64	80	83	221	20	31	115	94	47	146	69	115	117	162	93	73	171	144
ENSG00000007062	PROM1	765	246	110	240	177	135	10	369	532	609	2026	1773	1730	784	1295	910	465	534	500
ENSG00000007080	CCDC124	20	0	38	31	11	0	0	27	9	20	15	11	20	10	23	21	5	15	23
ENSG00000007129	CEACAM21	20	1	0	0	0	0	0	0	17	4	17	15	35	4	13	17	5	8	15
ENSG00000007168	PAFAH1B1	2886	1753	5363	3809	2153	571	623	1426	2716	3761	3060	2856	2598	2753	4194	2822	2830	3239	2031
ENSG00000007171	NOS2	23	11	0	0	0	0	36	3	11	57	43	58	251	12	128	179	31	81	90
ENSG00000007174	DNAH9	6	0	0	0	0	0	0	31	0	19	5	12	4	12	28	20	12	0	2
ENSG00000007202	KIAA0100	1086	568	1461	816	659	303	622	763	303	568	1028	1191	1018	824	1672	1377	1009	1186	1032
ENSG00000007216	SLC13A2	9	0	0	0	0	0	0	0	2	12	44	40	9	515	83	28	12	45	51
ENSG00000007237	GAS7	1153	540	2945	1660	1723	66	679	218	928	959	785	501	437	904	991	660	1436	1468	475
ENSG00000007255	TRAPPC6A	15	6	0	2	6	3	0	3	1	6	8	19	21	45	26	17	13	7	19
ENSG00000007264	MATK	13	0	0	0	0	0	0	0	0	1	6	4	3	2	4	5	2	8	6
ENSG00000007306	CEACAM7	4358	4342	84	0	0	3426	0	1034	211	9431	19157	30598	12011	1	11568	12477	2369	12762	17426
ENSG00000007312	CD79B	1	0	0	0	0	0	0	12	1	8	12	4	17	0	12	13	9	32	38
ENSG00000007314	SCN4A	17	0	2	0	0	0	0	0	0	0	0	18	3	6	35	5	4	5	10
ENSG00000007341	ST7L	500	187	653	828	361	797	117	244	514	662	433	426	417	340	564	448	376	390	294
ENSG00000007350	TKTL1	3	0	0	0	0	0	0	0	1	10	4	0	5	0	2	1	0	0	1
ENSG00000007372	PAX6	8	0	0	0	0	0	0	0	10	4	8	24	16	25	25	65	2	35	26
ENSG00000007376	RPUSD1	21	1	16	0	1	0	0	68	19	2	30	24	42	11	33	22	6	29	33
ENSG00000007384	RHBDF1	169	151	121	141	25	5	19	140	30	77	75	81	69	71	157	85	158	155	100
ENSG00000007392	LUC7L	873	209	647	666	1644	281	368	560	733	773	733	725	758	618	1329	826	801	1022	495
ENSG00000007402	CACNA2D2	43	7	44	29	85	0	0	0	25	30	38	21	51	17	80	37	16	108	55
ENSG00000007516	BAIAP3	5	0	0	0	0	0	0	0	0	0	4	4	2	10	6	11	3	3	4
ENSG00000007520	TSR3	38	2	21	1	0	0	0	4	13	12	22	12	16	12	45	21	12	29	46
ENSG00000007541	PIGQ	51	1	38	0	8	0	0	16	5	49	19	40	21	36	55	31	6	50	24
ENSG00000007545	CRAMP1	74	57	44	32	86	43	8	62	44	32	76	43	89	68	72	79	68	90	37
ENSG00000007866	TEAD3	437	230	497	293	317	17	41	205	83	111	257	165	95	173	266	154	112	497	125
ENSG00000007908	SELE	1152	9	9	168	29	122	1	0	6	149	513	183	41	3	2	60	140	700	21
ENSG00000007923	DNAJC11	300	68	153	100	166	58	17	199	85	153	246	218	206	113	357	351	130	229	322
ENSG00000007933	FMO3	43	41	54	15	9	12	0	0	50	264	66	20	36	91	36	45	18	39	35
ENSG00000007944	MYLIP	2151	60	600	401	338	17	16	70	536	507	425	353	380	551	358	379	340	352	211
ENSG00000007952	NOX1	499	318	16	0	0	68	60	64	160	438	562	792	1287	62	1010	771	553	330	791
ENSG00000007968	E2F2	57	59	7	0	0	5	15	37	3	3	49	97	46	36	57	74	22	29	74
ENSG00000008018	PSMB1	603	147	1235	612	541	586	47	462	336	493	767	662	772	626	1129	687	608	574	379
ENSG00000008056	SYN1	50	0	136	737	189	3	6	1	58	157	58	45	12	172	66	59	60	250	62
ENSG00000008083	JARID2	302	64	208	210	32	263	62	68	259	276	341	373	424	230	485	462	401	491	274
ENSG00000008086	CDKL5	649	171	1430	393	541	54	146	793	642	1105	724	530	487	336	788	563	574	640	402
ENSG00000008118	CAMK1G	1	11	0	0	0	0	0	0	1	2	7	3	8	4	14	9	1	5	1
ENSG00000008128	CDK11A	21	12	25	2	1	0	0	46	7	6	21	45	35	14	38	37	28	7	42
ENSG00000008130	NADK	1013	131	16602	32	7	14	68	40	1724	57	251	195	165	657	268	189	1122	112	241
ENSG00000008196	TFAP2B	1	0	5	0	0	0	0	0	0	0	3	1	0	0	0	3	8	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000008226	DLEC1	18	0	0	0	0	0	0	5	0	1	31	38	19	6	38	27	10	32	32
ENSG00000008256	CYTH3	277	59	219	25	179	34	15	244	189	122	263	236	202	369	316	254	208	356	184
ENSG00000008277	ADAM22	541	2026	221	144	418	490	94	36	437	633	772	814	1170	508	706	1214	634	577	358
ENSG00000008282	SYPL1	2130	1347	4843	3311	3712	2520	1227	927	2883	4589	2334	1776	1835	1954	2577	1852	1778	1851	1332
ENSG00000008283	CYB561	224	32	57	20	15	18	0	6	98	54	224	373	268	177	272	259	253	218	184
ENSG00000008294	SPAG9	3546	1645	4862	4953	5052	2452	711	2638	3259	4165	3838	3145	2725	3204	4153	3201	3163	3552	2004
ENSG00000008300	CELSR3	15	0	46	4	2	15	2	6	19	4	37	14	45	38	64	50	20	41	58
ENSG00000008311	AASS	415	567	623	875	1218	393	468	95	365	739	546	234	268	359	422	298	303	382	132
ENSG00000008323	PLEKHG6	205	42	7	0	8	25	4	27	6	13	174	199	208	174	182	140	73	123	122
ENSG00000008324	SS18L2	44	14	64	72	227	64	156	32	76	206	143	124	122	92	125	73	112	64	50
ENSG00000008382	MPND	51	18	35	7	13	2	0	4	28	6	78	59	48	30	105	57	18	57	79
ENSG00000008394	MGST1	1100	2518	1846	524	1347	2268	180	280	758	2934	2184	2061	2992	892	1022	1368	1243	861	973
ENSG00000008405	CRY1	918	373	1064	441	566	575	166	789	329	775	461	384	233	309	404	313	413	529	216
ENSG00000008438	PGLYRP1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
ENSG00000008441	NFIX	1366	501	1306	688	884	332	208	145	578	784	748	646	338	571	911	682	496	2947	545
ENSG00000008513	ST3GAL1	367	263	218	568	316	79	28	170	113	228	259	196	197	190	212	210	397	481	216
ENSG00000008516	MMP25	7	0	0	0	0	0	0	0	8	7	12	25	29	21	21	16	8	15	12
ENSG00000008517	IL32	187	30	31	57	11	43	66	61	10	51	145	151	64	525	85	89	29	116	148
ENSG00000008710	PKD1	156	12	273	77	63	1	23	145	19	39	104	82	29	78	153	59	60	191	108
ENSG00000008735	MAPK8IP2	6	1	4	5	39	8	0	0	3	2	4	3	1	14	7	3	0	22	3
ENSG00000008838	MED24	177	91	127	79	106	0	25	59	55	94	148	151	126	129	210	130	113	114	117
ENSG00000008853	RHOBTB2	174	25	337	163	15	97	55	98	23	70	77	74	115	1073	163	159	97	349	180
ENSG00000008869	HEATR5B	666	233	625	267	388	87	182	284	403	546	791	797	722	695	1201	955	650	640	581
ENSG00000008952	SEC62	3072	2697	6964	5237	6149	4167	1903	2208	4954	5667	4068	2716	3238	3060	3757	3213	3598	4252	2020
ENSG00000008988	RPS20	1500	1637	3597	5692	3369	1619	1309	1629	3317	3405	3107	2087	2490	1639	3180	1817	2000	2054	1288
ENSG00000009307	CSDE1	6879	3882	16061	12479	11824	5406	3290	6999	7770	8195	8033	6639	5223	6485	11782	5781	6270	8380	3808
ENSG00000009335	UBE3C	1052	990	1844	1012	693	3164	2328	795	734	1494	1166	1203	1200	1042	1538	1264	801	1300	660
ENSG00000009413	REV3L	6357	4227	9768	17074	7100	2615	2269	2992	6177	7494	6723	5711	5275	6046	7810	7344	7445	8436	3963
ENSG00000009694	TENM1	403	66	282	319	113	270	12	104	208	160	249	225	290	462	335	194	228	215	100
ENSG00000009709	PAX7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000009724	MASP2	166	29	34	14	23	86	15	36	113	133	130	203	137	120	310	246	146	184	124
ENSG00000009765	IYD	253	312	2	0	0	98	41	45	114	320	667	629	733	2157	617	396	204	325	515
ENSG00000009780	FAM76A	233	190	604	319	630	161	14	296	336	248	241	226	295	263	330	283	229	343	168
ENSG00000009790	TRAF3IP3	116	18	2	0	7	8	74	116	230	186	304	270	416	101	167	435	221	247	331
ENSG00000009830	POMT2	154	29	303	335	52	9	27	402	38	85	182	119	147	120	248	174	116	129	148
ENSG00000009844	VTA1	547	562	947	942	326	1573	228	776	883	1170	708	735	720	711	898	844	640	682	510
ENSG00000009950	MLXIPL	20	1	61	1	0	0	3	3	30	11	14	31	15	310	42	20	19	22	33
ENSG00000009954	BAZ1B	2335	1657	4330	1967	2166	345	1084	2285	1556	2527	2373	2110	1845	1927	3299	3176	2304	2853	2154
ENSG00000010017	RANBP9	1276	1319	2400	2906	1999	518	1063	1239	1481	1957	1593	1292	1203	1084	1792	1336	1045	1273	694
ENSG00000010030	ETV7	39	78	41	21	0	17	0	0	14	27	30	22	53	95	49	22	41	40	30
